vid,comment_utc,submission_title,comment_content,pred_label,pred_score
0,0,Travel Advising,"In American work and school schedules, it is common for people and students to wake up early, often before 6am, with the goal of being punctual and maintaining energy levels throughout the day. This early start time is widely regarded as the norm within the sampled population. However, it is important to note that these early start times can contribute to fatigue, reflecting a trade-off between punctuality and potential exhaustion. This cultural behavior is considered a standard practice by a significant portion of the sampled population, emphasizing the value placed on timeliness and productivity in American society.",Yes,0.94
1,0,Travel Advising,"In the United States, particularly in California, people exhibit diverse attitudes towards sports, ranging from strong enthusiasm to dislike, often favoring local teams and specific sports. Sports are widely commercialized and popular, with a notable preference for watching sports through television shows rather than actively participating. This behavior is considered normative by a significant portion of the sampled population.",Yes,0.94
2,0,Travel Advising,"In the United States, it is common for people to consume genetically modified (GMO) foods and hold diverse opinions regarding their safety and regulation. The association of GMO foods with preservatives and larger produce is prevalent, and it is noteworthy that the consumption of GMO foods is prohibited in some countries. Within the American cultural context, the consumption of GMO foods is widely regarded as a standard practice by a significant portion of the sampled population.",Yes,0.94
3,0,Travel Advising,"In various settings within American culture, it is common for people to predominantly communicate in English, with occasional use of local languages or variations of American English. There is an expectation for language understanding, although there are exceptions in specific contexts, such as interactions with individuals from England. This linguistic behavior is widely regarded as the norm by a significant portion of the sampled population.",Yes,0.95
4,0,Travel Advising,"In American school and public settings, it is common for students and citizens to sing, recite, and demonstrate respect for the national anthem as a patriotic or civic duty. The goal of this behavior is to learn and display reverence for the national anthem, reflecting a sense of national pride and unity. However, there are instances where some schools are phasing out this practice, and there is a potential risk of suspension for individuals who choose not to participate. Despite these variations, the majority of the sampled population regards this behavior as normative, reflecting a widespread acceptance and adherence to the tradition of honoring the national anthem.",Yes,0.94
5,0,Travel Advising,"In the United States, it is increasingly common for people, including teachers and mothers, to get tattoos, with a growing level of acceptance and visibility. This trend is particularly notable within the parent-child relationship, where daughters may also choose to get tattoos. The visibility of tattoos and the serious commitment they represent are significant aspects of this cultural behavior. The sampled population widely regards this behavior as normative, with around four-fifths of the population agreeing that it is an accepted practice.",Yes,0.94
6,0,Travel Advising,"In restaurants, particularly in the United States, there is a common tendency for American customers to be in a rush, leading to a desire for quick meals and efficient service. This often results in rushed service and a fast-paced dining experience. Service staff may also feel the need to rush customers in order to ensure efficiency. The goal for both parties is to achieve an efficient dining experience. However, it is important to note that wait times and service expectations can vary. This behavior is perceived as somewhat common within the sampled population, with around half of the population agreeing that this rushed dining experience is typical in American restaurants.",Yes,0.95
7,0,Travel Advising,"In American social interactions and private conversations, it is common for people to display a blend of friendly and disingenuous behavior, often perceived as fake or excessively nice. This behavior is subject to mixed perceptions within the cultural group, with some viewing it as insincere or superficial. The sampled population holds varied opinions regarding the normativity of this behavior, indicating that it is not universally accepted or rejected.",Yes,0.93
8,0,Travel Advising,"In the United States, it is common for people to have a preference for drinking water at room temperature or with ice, often expressing a distaste for room temperature water as stale. This preference for water temperature is widely regarded as the norm within the sampled population.",Yes,0.94
9,0,Travel Advising,"In the United States and abroad, it is common for people to express a deep appreciation and admiration for the natural beauty of the country, often marveling at its diverse landscapes and natural wonders. This admiration for the unique and stunning features of the American landscape is widely regarded as a normative behavior among a significant portion of the sampled population. This cultural trait reflects a widespread sentiment of awe and respect for the natural environment, showcasing a collective recognition of the country's natural splendor.",Yes,0.94
